Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,2009,2009,tonnes,34156,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,2010,2010,tonnes,36724,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,2011,2011,tonnes,40943,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,2012,2012,tonnes,50874,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,2013,2013,tonnes,63075,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,2014,2014,tonnes,74382,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1961,1961,tonnes,22494,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1962,1962,tonnes,24364,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1963,1963,tonnes,25060,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1964,1964,tonnes,17635,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1965,1965,tonnes,18533,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1966,1966,tonnes,12583,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1967,1967,tonnes,14347,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1968,1968,tonnes,5245,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1969,1969,tonnes,7563,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1970,1970,tonnes,7307,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1971,1971,tonnes,6405,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1972,1972,tonnes,6202,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1973,1973,tonnes,7130,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1974,1974,tonnes,6572,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1975,1975,tonnes,8142,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1976,1976,tonnes,8676,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1977,1977,tonnes,10679,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1978,1978,tonnes,10231,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1979,1979,tonnes,9286,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1980,1980,tonnes,16324,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1981,1981,tonnes,13112,,Official data
